,Team,season,Win Avg,homeWin Avg,homeLoss Avg,awayWin Avg,awayLoss Avg,own_score@home,other_score@home,own_score@away,other_score@away,stadium_latitude,stadium_longitude
81,DAL,2010,0.375,0.25,0.75,0.5,0.5,27.625,30.75,21.625,23.75,32.735687,-97.108063
82,DAL,2011,0.5,0.625,0.375,0.375,0.625,26.25,19.125,19.875,24.25,32.735687,-97.108063
83,DAL,2012,0.5,0.5,0.5,0.5,0.5,26.0,27.75,21.0,22.25,32.735687,-97.108063
84,DAL,2013,0.5,0.625,0.375,0.375,0.625,32.75,26.625,22.125,27.375,32.735687,-97.108063
85,DAL,2014,0.75,0.5,0.5,1.0,0.0,24.0,21.375,34.375,22.625,32.735687,-97.108063
86,DAL,2015,0.25,0.125,0.875,0.375,0.625,19.125,28.375,15.25,18.375,32.735687,-97.108063
87,DAL,2016,0.8125,0.875,0.125,0.75,0.25,29.125,19.75,23.5,18.5,32.735687,-97.108063
88,DAL,2017,0.5625,0.375,0.625,0.75,0.25,21.625,23.75,22.625,17.75,32.735687,-97.108063
89,DAL,2018,0.625,0.875,0.125,0.375,0.625,25.0,18.5,17.375,22.0,32.735687,-97.108063
90,DEN,2009,0.5,0.5,0.5,0.5,0.5,18.25,20.375,22.5,20.125,39.739235,39.739235
91,DEN,2010,0.25,0.375,0.625,0.125,0.875,26.5,30.625,16.5,28.25,39.739235,39.739235
92,DEN,2011,0.5,0.375,0.625,0.625,0.375,16.75,23.75,21.875,25.0,39.739235,39.739235
93,DEN,2012,0.8125,0.875,0.125,0.75,0.25,32.5,16.375,27.625,19.75,39.739235,39.739235
94,DEN,2013,0.8125,0.875,0.125,0.75,0.25,39.5,22.5,36.25,27.375,39.739235,39.739235
95,DEN,2014,0.75,1.0,0.0,0.5,0.5,35.375,20.75,24.875,23.5,39.739235,39.739235
96,DEN,2015,0.75,0.75,0.25,0.75,0.25,21.625,18.5,22.75,18.5,39.739235,39.739235
97,DEN,2016,0.5625,0.625,0.375,0.5,0.5,22.375,17.875,19.25,19.25,39.739235,39.739235
98,DEN,2017,0.3125,0.5,0.5,0.125,0.875,21.5,19.875,14.625,27.875,39.739235,39.739235
99,DEN,2018,0.375,0.375,0.625,0.375,0.625,19.5,21.125,21.625,22.5,39.739235,39.739235
100,DET,2009,0.125,0.25,0.75,0.0,1.0,19.875,28.125,12.875,33.625,42.34005,-83.04564
101,DET,2010,0.375,0.5,0.5,0.25,0.75,25.5,21.75,19.75,24.375,42.34005,-83.04564
102,DET,2011,0.625,0.625,0.375,0.625,0.375,30.375,20.5,28.875,27.875,42.34005,-83.04564
103,DET,2012,0.25,0.25,0.75,0.25,0.75,24.25,27.125,22.25,27.5,42.34005,-83.04564
104,DET,2013,0.4375,0.5,0.5,0.375,0.625,28.25,23.5,21.125,23.5,42.34005,-83.04564
105,DET,2014,0.6875,0.875,0.125,0.5,0.5,24.5,15.625,15.625,19.625,42.34005,-83.04564
106,DET,2015,0.4375,0.5,0.5,0.375,0.625,25.375,24.875,19.375,25.125,42.34005,-83.04564
107,DET,2016,0.5625,0.75,0.25,0.375,0.625,22.0,20.5,21.25,24.25,42.34005,-83.04564
108,DET,2017,0.5625,0.5,0.5,0.625,0.375,27.0,21.875,24.25,25.125,42.34005,-83.04564
109,DET,2018,0.375,0.375,0.625,0.375,0.625,18.625,26.0,21.875,19.0,42.34005,-83.04564
110,GB,2009,0.6875,0.75,0.25,0.625,0.375,27.375,17.375,30.25,19.75,44.50117,-88.06223
111,GB,2010,0.625,0.875,0.125,0.375,0.625,30.5,15.375,18.0,14.625,44.50117,-88.06223
112,GB,2011,0.9375,1.0,0.0,0.875,0.125,40.125,21.375,29.875,23.5,44.50117,-88.06223
113,GB,2012,0.6875,0.875,0.125,0.5,0.5,29.125,17.5,25.0,24.5,44.50117,-88.06223
114,GB,2013,0.5,0.5,0.375,0.5,0.5,25.375,22.625,26.75,30.875,44.50117,-88.06223
115,GB,2014,0.75,1.0,0.0,0.5,0.5,39.75,20.375,21.0,23.125,44.50117,-88.06223
116,GB,2015,0.625,0.625,0.375,0.625,0.375,23.25,17.125,22.75,23.25,44.50117,-88.06223
117,GB,2016,0.625,0.75,0.25,0.5,0.5,27.75,20.25,26.25,28.25,44.50117,-88.06223
118,GB,2017,0.4375,0.5,0.5,0.375,0.625,17.375,20.25,22.625,27.75,44.50117,-88.06223
119,GB,2018,0.375,0.625,0.25,0.125,0.875,23.75,20.625,23.25,29.375,44.50117,-88.06223
120,HOU,2009,0.5625,0.5,0.5,0.625,0.375,24.5,21.375,24.0,20.25,29.760427000000004,-95.369804
121,HOU,2010,0.375,0.5,0.5,0.25,0.75,24.625,24.5,24.125,28.875,29.760427000000004,-95.369804
122,HOU,2011,0.625,0.625,0.375,0.625,0.375,22.125,16.125,25.5,18.625,29.760427000000004,-95.369804
123,HOU,2012,0.75,0.75,0.25,0.75,0.25,29.25,20.625,22.75,20.75,29.760427000000004,-95.369804
124,HOU,2013,0.125,0.125,0.875,0.125,0.875,20.0,28.0,14.5,25.5,29.760427000000004,-95.369804
125,HOU,2014,0.5625,0.625,0.375,0.5,0.5,24.375,20.0,22.125,18.375,29.760427000000004,-95.369804
126,HOU,2015,0.5625,0.625,0.375,0.5,0.5,20.375,15.625,22.0,23.5,29.760427000000004,-95.369804
127,HOU,2016,0.5625,0.875,0.125,0.25,0.75,20.125,16.625,14.75,24.375,29.760427000000004,-95.369804
128,HOU,2017,0.25,0.375,0.625,0.125,0.875,24.75,25.375,17.5,29.125,29.760427000000004,-95.369804
129,HOU,2018,0.6875,0.75,0.25,0.625,0.375,25.875,17.0,24.375,22.5,29.760427000000004,-95.369804
130,IND,2009,0.875,0.875,0.125,0.875,0.125,23.875,19.5,28.125,18.875,39.76,-86.16360999999999
131,IND,2010,0.625,0.75,0.25,0.5,0.5,27.0,21.875,27.375,26.625,39.76,-86.16360999999999
132,IND,2011,0.125,0.25,0.75,0.0,1.0,17.25,22.75,13.125,31.0,39.76,-86.16360999999999
133,IND,2012,0.6875,0.875,0.125,0.5,0.5,23.125,19.25,21.5,29.125,39.76,-86.16360999999999
134,IND,2013,0.6875,0.75,0.25,0.625,0.375,24.875,20.875,24.0,21.125,39.76,-86.16360999999999
135,IND,2014,0.6875,0.75,0.25,0.625,0.375,28.0,17.75,29.25,28.375,39.76,-86.16360999999999
136,IND,2015,0.5,0.5,0.5,0.5,0.5,20.375,21.25,21.25,29.75,39.76,-86.16360999999999
137,IND,2016,0.5,0.5,0.5,0.5,0.5,22.0,25.125,29.375,23.875,39.76,-86.16360999999999
138,IND,2017,0.25,0.375,0.625,0.125,0.875,17.25,21.5,15.625,29.0,39.76,-86.16360999999999
139,IND,2018,0.625,0.75,0.25,0.5,0.5,29.875,20.375,24.25,22.625,39.76,-86.16360999999999
140,JAX,2016,0.1875,0.25,0.75,0.125,0.875,21.375,24.0,18.375,26.0,30.332184,-81.655647
141,JAX,2017,0.625,0.75,0.25,0.5,0.5,28.125,17.0,24.0,16.5,30.332184,-81.655647
142,JAX,2018,0.3125,0.375,0.625,0.25,0.75,16.0,15.125,14.625,24.375,30.332184,-81.655647
143,KC,2009,0.25,0.125,0.875,0.375,0.625,17.125,28.5,19.625,24.5,39.04895,-94.48388
144,KC,2010,0.625,0.875,0.125,0.375,0.625,24.0,14.75,21.75,26.0,39.04895,-94.48388
145,KC,2011,0.4375,0.375,0.625,0.5,0.5,13.25,21.125,13.25,21.125,39.04895,-94.48388
146,KC,2012,0.125,0.125,0.875,0.125,0.875,15.125,24.75,11.25,28.375,39.04895,-94.48388
147,KC,2013,0.6875,0.625,0.375,0.75,0.25,23.125,20.25,30.625,17.875,39.04895,-94.48388
148,KC,2014,0.5625,0.75,0.25,0.375,0.625,24.875,15.75,19.25,19.375,39.04895,-94.48388
149,KC,2015,0.6875,0.75,0.25,0.625,0.375,23.625,15.875,27.0,20.0,39.04895,-94.48388
150,KC,2016,0.75,0.75,0.25,0.75,0.25,23.875,15.75,24.75,23.125,39.04895,-94.48388
151,KC,2017,0.625,0.75,0.25,0.5,0.5,24.125,16.875,27.75,25.5,39.04895,-94.48388
152,KC,2018,0.75,0.875,0.125,0.625,0.375,32.375,18.0,38.25,34.625,39.04895,-94.48388
153,LA,2016,0.25,0.125,0.875,0.375,0.625,12.375,23.125,15.625,26.125,34.052234999999996,-118.243683
154,LA,2017,0.6875,0.5,0.5,0.875,0.125,27.0,19.5,32.75,21.625,34.052234999999996,-118.243683
155,LA,2018,0.8125,0.875,0.125,0.75,0.25,37.125,28.125,28.75,19.875,34.052234999999996,-118.243683
