season,index,home_score,away_score
2015,PIT,30.625,22.25
2015,SD,20.875,19.125
2015,SEA,26.125,26.75
2015,SF,14.25,15.5
2015,STL,19.875,15.125
2015,TB,20.5,22.25
2015,TEN,17.75,19.625
2015,WAS,25.75,22.75
2016,ARI,25.375,26.875
2016,ATL,35.0,32.5
2016,BAL,22.875,20.0
2016,BUF,30.75,19.125
2016,CAR,23.0,23.125
2016,CHI,20.25,14.625
2016,CIN,23.5,17.125
2016,CLE,15.375,17.625
2016,DAL,29.125,23.5
2016,DEN,22.375,19.25
2016,DET,22.0,21.25
2016,GB,27.75,26.25
2016,HOU,20.125,14.75
2016,IND,22.0,29.375
2016,JAX,21.375,18.375
2016,KC,23.875,24.75
2016,LA,12.375,15.625
2016,MIA,25.375,20.0
2016,MIN,22.125,18.75
2016,NE,26.75,28.375
2016,NO,31.0,27.625
2016,NYG,21.0,17.75
2016,NYJ,17.375,17.0
2016,OAK,29.375,22.625
2016,PHI,24.25,21.625
2016,PIT,28.25,21.625
2016,SD,28.0,23.25
2016,SEA,28.375,15.875
2016,SF,20.375,18.25
2016,TB,21.75,22.5
2016,TEN,25.0,22.625
2016,WAS,23.75,25.75
2017,ARI,20.875,16.0
2017,ATL,22.5,21.625
2017,BAL,26.75,22.625
2017,BUF,20.125,17.625
2017,CAR,24.25,21.125
2017,CHI,18.5,14.5
2017,CIN,17.0,19.25
2017,CLE,12.75,16.5
2017,DAL,21.625,22.625
2017,DEN,21.5,14.625
2017,DET,27.0,24.25
2017,GB,17.375,22.625
2017,HOU,24.75,17.5
2017,IND,17.25,15.625
2017,JAX,28.125,24.0
2017,KC,24.125,27.75
2017,LA,27.0,32.75
2017,LAC,25.625,18.75
2017,MIA,21.125,14.0
2017,MIN,24.75,23.0
2017,NE,29.375,27.875
2017,NO,30.125,25.875
2017,NYG,15.625,15.125
2017,NYJ,23.25,14.0
2017,OAK,22.375,15.25
2017,PHI,28.625,28.5
2017,PIT,28.25,22.5
2017,SEA,24.875,20.875
2017,SF,21.875,19.5
2017,TB,19.875,22.0
2017,TEN,24.25,17.5
2017,WAS,23.25,19.5
2018,ARI,12.25,15.875
2018,ATL,29.5,22.25
2018,BAL,27.125,21.5
2018,BUF,18.875,14.75
2018,CAR,25.5,21.5
2018,CHI,28.125,24.5
2018,CIN,24.125,21.875
2018,CLE,21.125,23.75
2018,DAL,25.0,17.375
2018,DEN,19.5,21.625
2018,DET,18.625,21.875
2018,GB,23.75,23.25
2018,HOU,25.875,24.375
2018,IND,29.875,24.25
2018,JAX,16.0,14.625
2018,KC,32.375,38.25
2018,LA,37.125,28.75
2018,LAC,25.75,27.75
2018,MIA,22.75,17.125
2018,MIN,22.0,23.0
2018,NE,32.875,21.625
2018,NO,34.125,28.875
2018,NYG,20.25,25.875
2018,NYJ,23.5,18.125
2018,OAK,22.375,13.875
2018,PHI,22.625,23.25
2018,PIT,30.0,23.5
2018,SEA,28.5,25.0
2018,SF,21.25,21.5
2018,TB,22.5,27.0
2018,TEN,22.25,16.5
2018,WAS,16.75,18.375
